Peak,Route Name,State,Location,Summit Elevation,Climb Grade,Elevation Gain,Driving Distance (Miles),Driving Time (Hours),Typical Duration,Typical Season,Glaciated Peak,Rock Skills Required,Snow Angle,Rappelling Required,Crevasse Rescue Skills Required,Typical Gear,Notes,Guide Books,,,
Dewey Peak - Seymour Peak,Chinook Pass,Washington,Mt. Rainier Nat. Park,6710,B,3600,240,4.50,one day,Summer-Autumn,No,4th Class,,No,No,Rock,Dewey and Seymour are peaks located south of Chinook Pass on the east side of Mt. Rainier National Park. Drive SR 410 to Chinook Pass. Follow the PCT south to a point west of Dewey Lake and continue cross country battling brush along the way to a gully below the Dewey Seymour col. Climb the gully and head east to the NW ridge of Dewey. Find a gully on the SW side leading to a notch below the main peak. Climb 80' of 4th class rock to the summit. Return to the col and head west to the Seymour summit.,Guide to 100 Peaks at Mt. Rainier,,Mt. Rainier National Park - 360-569-2211,
Dome Peak,Dome Glacier,Washington,Cascades - North,8920,B,7500,280,5.50,two or more days,Summer-Autumn,Yes,4th Class,up to 35 degrees,No,Yes,Snow,A strenuous approach (possible N. Cascades bushwhack) precedes a technically easy climb.  Dome peak is one end of the famous Ptarmigan Traverse.,"Climbs in the North Cascades by Nelson and Potterfield
Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey",,Mt. Baker-Snoqualmie National Forest. Darrington Ranger Station (360) 436-1155,
Dragontail Peak,Triple Couloirs,Washington,Cascades - North,8842,D,5302,277,4.75,one day,Spring-Summer,Yes,5th Class,greater than 50 degrees,Yes,Yes,Snow and Rock,Triple Couloirs is a classic snow and ice route with possible mixed climbing later in the season. Teams enter from the North face via a hidden couloir and ascend a series of 3 couloirs separated by short steep rock bands. The route cuts up the middle of the north face of Dragontail.,"Cascade Alpine Guide, Volume I, Fred Beckey",,,http://mazamas.org/?URL=http%3A%2F%2Fwww.summitpost.org%2Ftriple-couloirs%2F282360
Dragontail Peak,West Ridge,Washington,Cascades - Central,8840,B,5400,270,5.00,two or more days,Summer-Autumn,Yes,3rd Class,,No,No,Scrambling,"Dragontail Peak, located near the town of Leavenworth in the central Cascades, is the huge sight above Colchuck Lake. ","Climbs in the Cascades Vol. 1 by Nelson and Potterfield
Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey",,USFS Leavenworth Ranger station: 509-548-6997,http://www.summitpost.org/dragontail-peak/150391
Dragontail Peak,South Route,Washington,Cascades - South,8840,B,5500,270,5.00,two or more days,Summer-Autumn,Yes,3rd Class,up to 35 degrees,No,No,Snow and Rock,"Dragontail Peak, located near the town of Leavenworth in the central Cascades, is the huge sight above Colchuck Lake.  Its northwest face is almost a mile wide and 3000 feet high.  The South Route up this coveted peak, with some moderate glacier travel and 3rd class scrambling.  Backcountry permits can be hard to get for this popular (and beautiful) area.  Forest fires are common in this area in the summer - call the USFS before you leave town to be sure the trails are open.","Classic Climbs of the Northwest by Alan Kearney
Climbs in the Cascades Vol. 1 by Nelson and Potterfield
Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey, ppg 279-289",,USFS Leavenworth Ranger station: 509-548-6997,
Dragontail Peak,East Ridge,Washington,Cascades - South,8840,B,5400,270,5.00,two or more days,Summer-Autumn,Yes,3rd Class,up to 35 degrees,No,No,Snow and Rock,"Dragontail Peak, located near the town of Leavenworth in the central Cascades, is the huge sight above Colchuck Lake.  Its northwest face is almost a mile wide and 3000 feet high.  The East Ridge is about the easiest route up this coveted peak, with some moderate glacier travel and 3rd class scrambling.  Backcountry permits can be hard to get for this popular (and beautiful) area.  Forest fires are common in this area in the summer - call the USFS before you leave town to be sure the trails are open.","Classic Climbs of the Northwest by Alan Kearney
Climbs in the Cascades Vol. 1 by Nelson and Potterfield
Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey",,USFS Leavenworth Ranger station: 509-548-6997,
Dragontail Peak,Serpentine Arete,Washington,Cascades - South,9,E,5440,270,5.00,two or more days,Summer-Autumn,Yes,5th Class,,No,No,Rock,"Dragontail Peak, located near the town of Leavenworth in the central Cascades, is the huge sight above Colchuck Lake.  Its northwest face is almost a mile wide and 3000 feet high.   Serpentine Arete is a classic route on this face, with 2 pitches of 5.8 rock and a LOT of low 5th and 4th class over about 14 pitches.  Backcountry permits can be hard to get for this popular area.  Forest fires are common in this area in the summer - call the USFS before you leave town to be sure the trails are open.","Classic Climbs of the Northwest by Alan Kearney
Climbs in the Cascades Vol. 1  by Nelson and Potterfield
Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey",,USFS Leavenworth Ranger station: 509-548-6997,
Dumbell Mountain,SW Route,Washington,Cascades - Central,8241,B,5000,250,6.00,two or more days,Summer-Autumn,No,3rd Class,,No,No,Scrambling,Exposed rock scramble in remote location on a seldom climbed peak.  Typically combined with neighbor Greenwood Mountain.,"Summit Routes: Washingtons 100 Highest Peaks by Scott Stephenson and Brian Bongiovanni
Cascade Alpine Guide Volume 2 by Fred Beckey",,US Forest Service Okanagon / Wenatchee - Lake Wenatchee Ranger District,http://www.summitpost.org/dumbell-mountain/379457
Eagle & Chutla Peak,Longmire Trail,Washington,Mt. Rainier Nat. Park,6000,A,3200,150,2.50,one day,Spring-Summer,No,4th Class,,No,No,Scrambling,"Located in the Tatoosh range in the southern end of Mt. Rainier Nat. Park, this 2 peak link-up offers a classic alpine scramble.  The round trip hike of about 7 miles starts at Longmire on a well maintained trail rising through beautiful ancient forest, and tops out on a saddle between the  two peaks.  Along with a park entrance fee, all of the Tatoosh peaks offer spectacular views of Mt. Rainier - on clear days.  This is good beginner trip and fairly close to home.  Be prepared for a an exposed scramble on Eagle, and 3rd class tree climbing on the ""Hobbit trail"" of the Chutla Ridge.   ""Tatoosh"" means 'nourishing breast "" in the local Native American language.  To make a more ambitious day out of it, add in neighboring peak Wahpenayo.  In later season, leave the crampons, ice axe, harness and possible rope and helmets home. ","Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey
75 Scrambles in Washington by Peggy Goldman",,"Mt. Rainer NP, Park HQ: 360-569-2211 ext 2334
Mt. Rainer NP (after hours) Lewis County S&R: 360-740-1105",
Echo Rock,Mowich Lake,Washington,Mt. Rainier Nat. Park,7862,A,3300,275,5.00,one day,Summer-Autumn,Yes,3rd Class,up to 35 degrees,No,No,Scrambling,from trails.com:,Climbing Washingtons Mountains by Jeff Smoot,,"Mt Rainer NP, Park HQ: 360-569-2211 ext 2334",http://www.attrition.ws/index~Hike_Review~Echo_Rock_Mt._Rainier_National_Park_Washington~page~hikeoverview~HikeInstanceID~45.cfm
Eldorado Peak,NE Face,Washington,Cascades - North,8868,D,6800,310,6.00,two or more days,Summer-Autumn,Yes,none,greater than 50 degrees,Yes,Yes,Snow,"El Dorado Peak is one of the €œgreat mountains in the North Cascades€ù (Beckey), especially its much photographed sharp-edged summit ridge.  Our goal is to find a nice ice/steep snow route up the seldom-climbed NE Face.  The approach can be . . . interesting.  See BeckeysCascade Alpine Guide for a more detailed look at this areas geologic and climbing history.","Climbs in the Cascades Vol. 1 by Nelson and Potterfield
Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey",,Marblemount NPS Ranger Station 360-873-4590,
Eldorado Peak,Eldorado Glacier/East Ridge,Washington,Cascades - North,8868,B,6700,310,6.00,two or more days,Summer-Autumn,Yes,none,up to 35 degrees,No,Yes,Snow,"One of the most popularClimbs in the North Cascades, Eldorado has a challenging approach hike with exceptional scenery.  Endurance for getting to the peak is more of a requirement than technical climbing skill.  The knife-edged summit ridge is a classic of many photos - see below.","Climbs in the Cascades Vol. 1 by Nelson and Potterfield,
Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey",,Marblemount NPS Ranger Station 360-873-4590,
Mt. Ellinor,Summertime Route,Washington,- Olympic Range,5944,A,2500,165,3.00,one day,Summer-Autumn,No,3rd Class,,No,No,Scrambling,"The summertime route is a trail ascent of the peak, slightly different than the more common SE Chute route.","Climbers Guide to the Olympic Mountains (3rd Edition) 
75 Scrambles in Washington by Peggy Goldman",,"Olympic NF, Hood Canal Ranger District 360-877-5254",
Mt. Ellinor & Mt. Washington,Traverse,Washington,- Olympic Range,6225,B,2800,165,4.00,one day,Spring-Summer,No,4th Class,up to 35 degrees,No,No,Scrambling,"From Ellinor parking area, follow the excellent trail to the summit of Mt. Ellinor, (1.5 hours). From the top, descend 150 ft and east 300 ft to a flattish area above a large, north facing scree chute. Descend the chute (25 degrees, party induced rockfall hazard) about 600 feet and do ascending traverse 7 mile northeast across the basin passing below cliffs on the right. Ascend scree, boulders and ledges to an obvious col between a large hump on the left and a smaller pinnacle on the right at UTM 10T 481240E 5264190N. Traverse SE (right) behind the pinnacle a few hundred feet to the broad ridge stretching northeast (and the upper part of the normal ascent trail). Continue N to the summit block, which may be climbed either directly (3rd-4th class) or by contouring right on a rock ledge and up the steep slope on the N side (3.5 hours). To descend, return to the broad ridge above the Big Creek basin and find the climbers trail (large cairn) leading down (east) to the road. This trail is steep and loose in places, but well worn. Some brush and many roots.  Walk the road 1.1 miles back to the cars (2 hours).  The total ascent is approx. 2,800 feet.",Climbers Guide to the Olympic Mountains (3rd Edition),,"Olympic NF, Hood Canal Ranger District 360-877-5254",
Mt. Ellinor,SE Chute,Washington,- Olympic Range,5944,A,2500,165,4.00,one day,Spring-Summer,No,3rd Class,up to 35 degrees,No,No,Snow,"Home of majestic mountain goats and ravenous chipmunks, Mt Ellinor is an easier, lower elevation peak with modest elevation gain.  A good beginner climb, with a bit of snow and some rock scrambling.","Climbers Guide to the Olympic Mountains (3rd Edition)
75 Scrambles in Washington by Peggy Goldman",,"Olympic NF, Hood Canal Ranger District 360-877-5254",
Enchantment Peak,East Ridge,Washington,Cascades - South,8520,A,4900,270,5.00,two or more days,Summer-Autumn,Yes,4th Class,up to 35 degrees,No,No,Scrambling,"The Enchantment Basin, nestled in the midst of the Cashmere Crags, exhibits countless granitic outcrops and pinnacles. Described as €œtall, threatening spires that streak skyward like Dantesque flames€ù, the area is singularly scenic, and a scramblers paradise.   This a 3rd class scramble route with minimal technical requirements -  rather rare for this region.","75 Scrambles in Washington by Peggy Goldman
Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey",,USFS Leavenworth Ranger station 509-548-6997,
Fay Peak and Mt. Pleasant,Knapsack Pass,Washington,Mt. Rainier Nat. Park,6500,A,,275,5.00,one day,Summer-Autumn,No,3rd Class,,No,No,Scrambling,This pair of walk up peaks are in the NW corner of Mt. Rainier Nat Park.,Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,"http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=Fay+Peak,+WA&aq=0&sll=47.428203,-121.443043&sspn=0.032691,0.090895&ie=UTF8&hq=&hnear=Fay+Peak&ll=46.932448,-121.847606&spn=0.016499,0.045447&t=p&z=15",unknown,
First Mother,Knapsack Pass,Washington,Mt. Rainier Nat. Park,6480,A,,275,5.00,one day,Summer-Autumn,No,3rd Class,,No,No,Scrambling,This walk up peak is in the NW corner of Mt. Rainier Nat Park.,Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,http://goo.gl/maps/ior1B,unknown,
Mt. Fernow,Southwest Route,Washington,Cascades - North,9249,B,4700,310,6.00,two or more days,Spring-Summer,Yes,3rd Class,up to 35 degrees,No,No,Scrambling,"Slabby class 3. helmet, axe and crampons possible and usual bivy stuff. From leroy basin camp, scramble, scree, boulders - loose rock.  More serious than Mt. Maude or Seven Fingered Jack.","Climbing Washingtons Mountains by Jeff Smoot
Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey",,"USFS Ranger Station in Lake Wenatchee, WA 509-763-3103",
Mt. Fernow,East Ridge,Washington,Cascades - Central,9249,B,5900,310,6.00,two or more days,Summer-Autumn,Yes,3rd Class,up to 35 degrees,No,No,Snow,"Mt Fernow is the highest peak of the Entiat mountain range, a small subrange of 9,000 foot peaks between Glacier Peak and Lake Chelan.  It is somewhat remote climb of moderate technical requirements, and can have a LOT of loose rock. ","Climbing Washingtons Mountains by Jeff Smoot
Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey",,"USFS Ranger Station in Lake Wenatchee, WA 509-763-3103",
Fifes Peak (West),Crow Lake Trail,Washington,Washington,6800,A,3500,168,0.50,one day,Spring-Summer,No,3rd Class,,No,No,Scrambling,46.97123°N / 121.32202°W,Cascade Alpine Guide: 1: Columbia River to Stevens Pass by Fred Beckey,,"Naches Ranger District
510 Highway 12
Naches, WA 98937
(509) 653-2205",http://www.summitpost.org/mountain/rock/444880/fifes-peak-west-peak.html
Forbidden Peak,East Ridge Direct,Washington,Cascades - Central,8815,E,5600,300,6.00,two or more days,Summer-Autumn,Yes,5th Class,up to 35 degrees,Yes,No,Rock,"A stout 5th class route on a classic peak,","Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey
Climbs in the North Cascades by Nelson and Potterfield",,Marblemount NPS Ranger Station 360-873-4590,
Forbidden Peak,West Ridge,Washington,Cascades - Central,8815,D,5600,310,6.00,two or more days,Summer-Autumn,Yes,5th Class,between 35 and 50 degrees,Yes,Yes,Snow and Rock,"A classic technical Cascade route, this climb has an easy approach (2.5 hours) a spectacular high camp, and demands a variety of climbing skills - glacier travel, good route finding, and efficient fast climbing on 4th and easy 5th class rock.  A great alpine route!","Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey
Climbs in the North Cascades by Nelson and Potterfield",,Marblemount NPS Ranger Station 360-873-4590,
Mt. Forgotten,East Rib-Gully,Washington,Cascades - Central,6005,B,4000,270,5.00,one day,Summer-Autumn,No,3rd Class,,No,No,Scrambling,From Summitpost:,"Climbing Washington's Mountains by Jeff Smoot
Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey","http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=Mt.+Forgotten&sll=37.996163,-95.712891&sspn=38.341229,93.164063&ie=UTF8&ll=48.098719,-121.444545&spn=0.015993,0.04549&t=p&z=15&iwloc=addr",none,http://www.summitpost.org/mountain/rock/150622/mount-forgotten.html
Mt. Fremont,Standard,Washington,Mt. Rainier Nat. Park,7300,A,900,195,4.00,one day,Summer-Autumn,No,3rd Class,,No,No,Scrambling,"Located just NE of Mt. Rainier, this easy stroll is great for families.  There is an old lookout on top.",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey ,,Mt. Rainier N.P. 360-569-2211,http://www.nps.gov/mora
Mt. Fricaba-Petunia Peak,Ridge Traverse,Washington,- Olympic Range,7193,C,5000,300,6.00,two or more days,Spring-Summer,Yes,4th Class,between 35 and 50 degrees,Yes,No,Snow and Rock,Climb to Mt. Fricaba then traverse connecting ridge to Petunia Peak and return to base camp.,"Climbers Guide to the Olympic Mountains, 4th Edition",,"Olympic National Forest Headquarters: 360-956-2402
Mazamas emergency pager activation: 503-227-2345, ext. 3",
Gilbert Peak (Curtis-Gilbert),Klickton Divide,Washington,Cascades - South,8184,A,4000,180,3.50,two or more days,Summer-Autumn,Yes,3rd Class,,No,No,Scrambling,"The highest point in the Goat Rocks is Mount Curtis Gilbert, also known as Gilbert Peak. This climb begins at the South Fork Tieton River trailhead. From Warm Lake you'll head southwest through a patch of green to the Klickton Divide. Follow the divide northwest to the summit block. At the summit block stay on the west (left) side and remain close to the buttress. Scramble upward through loose rock, particularly near the summit block, the true summit. ","75 Scrambles in Washington, Peggy Goldman
Cascade Alpine Guide, Volume I Fred Beckey",,USFS Packwood WA information center  360-494-0600,
Gilbert Peak (Curtis-Gilbert),Conrad-Meade Glacier,Washington,Cascades - South,8184,B,4200,200,3.50,two or more days,Spring-Summer,Yes,3rd Class,up to 35 degrees,No,No,Snow,"Curtis Gilbert (sometimes called Gilbert Peak or Mt. Curtis Gilbert) is the highest peak peak in the Goat Rocks Wilderness. This approach begins at Conrad Meadows on the South Tieton Creek Trailhead. The climb entails climbing up the east side of the Conrad Glacier to the saddle that is east of the summit. You then drop over the saddle onto the Meade Glacier and climb up the Meade Glacier to a small rock outcrop. From this outcrop the route continue up a short steep snowfield to the rocky summit. Boulder scrambling, scree, and a snowfield lead to the summit ridge. Late in the season you may not find any steep snow on the final section of this route.","Cascade Alpine Guide, Volume I Fred Beckey",,USFS Packwood WA information center  360-494-0600,
Gilbert Peak (Curtis-Gilbert),Cispus Basin,Washington,Cascades - South,8184,B,3400,160,3.50,two or more days,Spring-Summer,Yes,3rd Class,up to 35 degrees,No,No,Snow and Rock,"Located between Mts. Adams and Rainier, this glaciated peak has heaps of rotten, loose rock on moderately steep slopes.  Its difficulty depends on how good our routefinding skills are €“ it can be tricky. Bring binoculars and the camera for goat watching - there can be large herds in this area.","75 Scrambles in Washington by Peggy Goldman
Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey",,USFS Packwood WA information center  360-494-0600,
Glacier Peak,Cool Glacier  ,Washington,Cascades - Central,10541,C,8000,270,5.50,two or more days,Summer-Autumn,Yes,3rd Class,between 35 and 50 degrees,No,Yes,Snow,"Glacier Peak is the most remote peak we climb in the Cascade Range.  No road penetrates within eight miles of the mountain and many approach hikes are more than 10 miles long.  The fall floods of 2003 destroyed many road and trail bridges in the Glacier Peak Wilderness, and many have not yet been rebuilt.  At present, the Cool Glacier route, once considered long, has become the most accessible route.","Climbs in the Cascades, Vol.II by Nelson and Potterfield
Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey
 Summit Guide to the Cascade Volcanoes by Jeff Smoot",,"Mt. Baker-Snoqualmie National Forest, Darrington Ranger District Office 360-436-1155",http://www.summitpost.org/route/166764/white-chuck-gerdine-cool-glaciers.html
Glacier Peak,Frostbite Ridge,Washington,Cascades - Central,10541,C,8000,270,5.50,two or more days,Summer-Autumn,Yes,none,between 35 and 50 degrees,No,Yes,Snow,"Glacier, one of the highest peaks in the Cascades, is fairly remote with a long approach hike and a low starting elevation.  The Frostbite Ridge route has a more involved approach and more technical challenges than the easier Sitkum Glacier route.","Climbers Guide to the Cascade Volcanoes by Jeff Smoot
Climbs in the North Cascades by Nelson and Potterfield
Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey",,"Mt. Baker-Snoqualmie National Forest, Darrington Ranger District Office 360-436-1155",
Glacier Peak,Sitkum Glacier,Washington,Cascades - Central,10541,B,8000,270,5.50,two or more days,Summer-Autumn,Yes,none,up to 35 degrees,No,No,Snow,"Glacier, one of the highest peaks in the Cascades, is fairly remote with a long approach hike and a low starting elevation.  This makes for more of a challenge than the actual climbing, which is technically quite easy. ","Climbers Guide to the Cascade Volcanoes by Jeff Smoot
Climbs in the North Cascades by Nelson and Potterfield
Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey",,"Mt. Baker-Snoqualmie National Forest, Darrington Ranger District Office 360-436-1155",
Goat Island Mountain,Frying Pan Creek,Washington,Cascades - South,7288,A,4000,160,3.50,one day,Summer-Autumn,No,3rd Class,up to 35 degrees,No,No,Scrambling,"This peak, described as an ""enormous rounded mound"", is in Mt. Rainier Nat. Park.  Generally regarded as a scramble peak, there are no significant technical challenges.  Terrific views of Mt. Rainier, Little Tahoma Peak, the Emmons Glacier and the Frying pan Glacier are yours, if the clouds clear away.","75 Scrambles in Washington by Peggy Goldman
Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey",,"Mt Rainier NP, Park HQ: 360-569-2211 ext 2334
Mt Rainier NP (after hours) Lewis County S&R: 360-740-1105",
Mt. Goode,NE Buttress,Washington,Cascades - Central,9200,E,4700,300,6.50,two or more days,Summer-Autumn,Yes,5th Class,between 35 and 50 degrees,Yes,Yes,Snow and Rock,"Mt. Goode, one of the coveted 9,000+ foot peaks in Washington, is a Full Value climb - a L O N G approach, some bushwhack, a bit of glacier travel, and a then long classic ridge of low 5th class to the airy summit.  This peak will put all your alpine skills to the test.","Cascade Alpine Guide, Volume 2  2nd Edition by Fred Beckey
Climbs in the Cascades Volume 1 by Jim Nelson and Peter Potterfield
Climbing Washington's Mountains by Jeff Smoot",,none at present,http://www.ericsbasecamp.net/trips/Goode/Goode.htm
Gothic Peak,East Side,Washington,Cascades - Central,6213,B,3900,250,5.00,two or more days,Spring-Summer,No,3rd Class,up to 35 degrees,No,No,Scrambling,"A nearby peak 1/2 mile from the popular Del Campo, Gothic Peak was named after William Gothic, an early prospector.  Combining Gothic with Del Campo can make a fine weekend two-peak weekend trip.  The main route is a class 3 scramble.  Camping in the Gothic Basin of Foggy Lake area can be especially beautiful.",Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey,,"Mt. Baker / Snoqualmie NF, Darrington Ranger Station: 360-436-1155",
Granite Mountain and Trico Mountain,Robin Lakes,Washington,Cascades - South,7144,A,3200,260,5.00,two or more days,Summer-Autumn,No,3rd Class,,No,No,Scrambling,"Located in the popular and gorgeous Alpine Lakes Wilderness, these two peaks can be scrambled in a day with a nice swim at the lakeside camp on return.","75 Scrambles in Washington by Peggy Goldman
Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey",,Wenatchee National Forest Cle Elum Ranger Station 509-852-1100,
Graybeard Peak,Southwest Route,Washington,Washington,7965,A,,340,6.00,one day,Summer-Autumn,No,4th Class,,No,No,Scrambling,"Equipment Needed:  Hard hat, harness, trekking poles","BeckeysCascade Alpine Guide Vol. 2, page 351",http://www.terraserver-usa.com/image.aspx?T=2&S=12&z=10&x=761&y=6738&w=3,,
Greenwood Mountain,SW Route,Washington,Cascades - Central,8415,B,5000,250,6.00,two or more days,Summer-Autumn,,3rd Class,,No,No,Scrambling,Exposed rock scramble in remote location. Slightly more challenging than Dumbell Mountain. The route climbs past the summit of Dumbell and onto Greenwood Mountain.,"Summit Routes: Washingtons 100 Highest Peaks by Scott Stephenson and Brian Bongiovanni
Cascade Alpine Guide Volume 2 by Fred Beckey",,US Forest Service Okanagon / Wenatchee - Lake Wenatchee Ranger District,http://www.summitpost.org/greenwood-mountain/858224
Gunn  Peak,Standard,Washington,Cascades - Central,6240,B,4000,230,4.00,one day,Summer-Autumn,No,3rd Class,,No,No,Scrambling,Exposed class 3 climbing leads to the top of this scramble peak.,"Cascade Alpine Guide, Volume 2 by Fred Beckey",http://goo.gl/maps/CE99d,USFS Skykomish Ranger Station (360) 677-2414,http://www.summitpost.org/gunn-peak/151026
Gunsight Peak,SW Face,Washington,Cascades - Central,8198,E,7000,300,6.00,two or more days,Summer-Autumn,Yes,5th Class,up to 35 degrees,Yes,No,Rock,A 5.6 rock climb gets you to the top of this remote peak.,Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,http://goo.gl/maps/TChDL,Mt. Baker-Snoqualmie National Forest. Darrington Ranger Station (360) 436-1155,
Guye Peak,North Route,Washington,Cascades - South,6259,A,3200,230,3.50,one day,Spring-Summer,No,3rd Class,up to 35 degrees,No,No,Scrambling,"Guye has many technical 5th class routes, but well take the easy way up.  Guye is often climbed in conjunction with its large neighbor, Snoqualmie Mountain. This is a technically easy ""scramble"" peak in the Snoqualmie Pass area off of I-90 east of Seattle.  It offers some fine vistas and little in the way of technical difficulty.  Ice axe and crampons may be needed in the early season.  If you are staying in the area, it can be combined with Kaleetan, Hibox, Chair, or some of the many other easier nearby scramble peaks. ","75 Scrambles in Washington by Peggy Goldman
Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey",,"Mt. Baker-Snoqualmie NF, North Bend Office, 425-888-1421",
Hadley Peak,Skyline Divide,Washington,Cascades - North,7515,A,3000,300,7.00,one day,Summer-Autumn,No,none,,No,No,Scrambling,This is a walk up peak next to Mt. Baker.,Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey,http://goo.gl/maps/9Sr3i,"USFS Glacier Public Service Center: 360-599-2714 
USFS Sedro Wooley Mt. Baker Ranger Station: 206-856-5700",http://www.summitpost.org/hadley-peak/561479
Hibox Mountain,SW Route,Washington,Cascades - South,6560,A,3800,210,4.50,one day,Spring-Summer,No,3rd Class,up to 35 degrees,No,No,Snow,"This is a technically easy ""scramble"" peak in the Snoqualmie Pass area off of I-90 east of Seattle.  It offers some fine vistas and little in the way of technical difficulty.  Ice axe and crampons may be needed in the early season.  If you are staying in the area, it can be combined with Guye, Kaleetan, Chair, or some of the many other easier nearby scramble peaks . ","Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey
75 Scrambles in Washington by Peggy Goldman",,"Wenatchee NF, Cle Elum Ranger District 509-674-4411",
Hidden Lake Peak,North Ridge,Washington,Cascades - Central,7088,B,3200,310,5.00,two or more days,Summer-Autumn,No,none,up to 35 degrees,No,No,Scrambling,"This peak is near Eldorado Peak, Cascade Pass, and the town of Marblemount.","Climbing Washingtons Mountains by Jeff Smoot
Cascade Al pine Guide: Stevens Pass to Rainy Pass by Fred Beckey",,Marblemount NPS Ranger Station 360-873-4590 ,
Icy Peak,North Route,Washington,Cascades - North,7070,B,4000,300,7.00,two or more days,Summer-Autumn,Yes,3rd Class,up to 35 degrees,No,No,Snow,"Near Ruth Mountain and a bit east of Mt. Shuksan in the North Cascades, Icy Peak is a remote, climb with moderate technical requirements.  As you might guess from the name, there are a few glaciers on this peak! ",Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey,"http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=Icy+Peak&sll=37.0625,-95.677068&sspn=38.775203,93.164063&ie=UTF8&ll=48.835967,-121.528487&spn=0.015762,0.04549&t=p&z=15&iwloc=addr",Forest Service Glacier Public Service Center 360-599-2714,
Mt. Index,East Ridge,Washington,Cascades - Central,5991,B,3500,225,4.00,two or more days,Spring-Summer,No,4th Class,up to 35 degrees,Yes,No,Snow and Rock,"This is a rugged climb through brush, rockslides, routefinding difficulties, and ridge travel above a huge escarpment- the east face of Mt. Index.","Cascade Alpine Guide, Volume I: Columbia River to Stevens pass by Fred Beckey","http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=Mt.+Index&sll=37.0625,-95.677068&sspn=38.775203,93.164063&ie=UTF8&ll=47.77455,-121.58093&spn=0.016093,0.04549&t=p&z=15",none,
Ingalls Peak,East Ridge of North Peak,Washington,Cascades - South,7662,D,3400,275,6.00,one day,Summer-Autumn,No,5th Class,,Yes,,Rock,"The East Ridge of the North Peak of Ingalls is a nice climb with a few  5th class pitches, good quality rock, great vistas of massive neighbor Mt. Stuart, and an easy approach.  The East Ridge is is rated 5.7, with a single crux move.  Gear - medium to large stoppers, small cams, small tri cams.  Use the nice creek at the trailhead to cool off your post climb beverages.  While either of these routes may be done car to car in a day by fast teams, gorgeous backpack camps near Ingalls Lake are available and make for an relaxing weekend.  There are three summits to Ingalls, North is the highest.  For a more sporting day of climbing, tag the East peak of Ingalls (2-3 pitches of easy 5th class rock), rap to the notch between the east and north, climb the East ridge, and then rap the south face route.  Combine one or more of these routes with a West Ridge of Stuart climb for a great Cascades granite 3 day weekend! ",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,,"USFS Cle Elum Ranger Station, 509-674-4411",
